mode,k,k_squared,ref_initial_real,ref_initial_imag,pred_initial_real,pred_initial_imag,initial_complex_abs_error,final_complex_abs_error,mean_complex_abs_error_over_time,relative_complex_error_over_time,ref_final_amplitude,pred_final_amplitude,final_amplitude_ratio_pred_over_ref,exact_vs_reference_relative_error_by_mode,fitted_decay_rate,decay_rate_error,valid_decay_fit
40,6.283185307179586,39.47841760435743,0.004159822610458072,6.257931083123949e-16,0.00027217859259852026,5.110334655132717e-06,0.0038876473766430303,9.002484552358609e-05,8.636093899207495e-05,0.9369052079485384,1.1238201956526652e-15,9.002484552345755e-05,80106093369.4781,2.022458161615558e-12,0.12333378823078185,-39.35508381612665,True
41,6.440264939859077,41.47701249557804,-0.003250256243715579,3.226585665316861e-16,-1.3761465344704765e-05,-0.00018175176324980793,0.0032415940760475337,6.922012001908563e-05,7.031183662774492e-05,1.0035351248719988,3.4357009178531e-16,6.922012001925225e-05,201473066702.51874,2.684772833705221e-12,0.07563406819535627,-41.40137842738268,True
42,6.5973445725385655,43.52495540880407,0.0025395626259514387,2.1441182163073336e-15,0.0004180929504854882,-0.0007543727549479488,0.002251602060163518,0.00023468025476538237,0.00015576901697007762,1.0750044376789012,5.427909797352596e-16,0.00023468025476557286,432358428063.8481,3.0747669529602113e-12,0.14474032402571788,-43.38021508477835,True
43,6.754424205218055,45.62224634403556,-0.0019842758564016295,9.159339953157541e-16,-0.00013078734041011572,-0.0007591209576991512,0.002002918946770411,0.00018047920051006866,0.00013807782631372582,1.2179656969599544,5.196471953265637e-16,0.00018047920051055027,347311025891.57837,3.4714633184559764e-12,0.16018680914338249,-45.46205953489218,True
44,6.911503837897546,47.768885301272505,0.001550397162788002,1.3183898417423734e-15,0.00011673696885348972,0.00027831915637938076,0.0014604256586623436,5.695833481564494e-05,5.421526855414767e-05,0.9891080915754342,8.312140267390834e-16,5.695833481482368e-05,68524270503.80226,4.622854667916317e-12,0.2395872831053862,-47.52929801816712,True
45,7.0685834705770345,49.964872280514875,-0.001211397270860965,1.8041124150158794e-16,0.0001707031826310157,-0.00024633526441799475,0.0014038813076748015,6.523933332938599e-05,5.633714393892677e-05,1.2352911014930725,1.5988393930622836e-15,6.523933333086721e-05,40804181842.12564,7.294117939695062e-12,0.1653088106455487,-49.79956346986933,True
46,7.225663103256525,52.21020728176271,0.000946513654275026,1.6930901125533637e-15,0.0003625851795961976,0.000950740917169768,0.0011157422440323463,8.39846934636927e-05,7.771292326234764e-05,1.5944187444233893,5.322733442911236e-16,8.398469346374193e-05,157784894480.4702,1.0692902274669011e-11,0.284846507358522,-51.92536077440419,True
47,7.382742735936014,54.50489030501598,-0.0007395563691925955,2.7755575615628914e-17,-0.0004697658604280869,-0.00037384460265176694,0.00046102787936445953,4.520877076801944e-05,4.304996100362646e-05,0.9840675473324665,1.1890693381175816e-15,4.520877076894331e-05,38020298160.67196,1.8556208574353175e-11,0.21993955718489064,-54.28495074783108,True
48,7.539822368615504,56.848921350274715,0.0005778440128651197,8.326672684688674e-16,0.0005499943134275875,-0.00019973243465801205,0.00020166469996881094,7.705630515460672e-05,6.700462230061911e-05,1.4959497717184989,5.564029472481727e-16,7.705630515512887e-05,138490109616.11496,1.9956983739201816e-11,0.174660855850284,-56.67426049442443,True
49,7.696902001294994,59.242300417538885,-0.00045149838486871485,-9.159339953157541e-16,-0.0008136823235553514,-0.0004529154338256611,0.0005799220599694604,6.857218254983718e-05,6.685034338881837e-05,2.566056220032176,8.226387554359167e-16,6.85721825490168e-05,83356372521.8372,3.0926117875626117e-11,0.3267381331072797,-58.91556228443161,True
